policy,versus,threshold,crossers,detected_by_both,only_guided_detected,only_base_detected,lead_mean_months,lead_mean_ci95,lead_median_months,earlier_pct,extra_echoes_per_1000py,extra_echoes_ci95
annual+kairos@0.02,annual,0.02,214,146,11,6,0.74,"[0.38, 1.12]",0.0,11.0,14.4,"[11.41, 17.12]"
annual+kairos@0.05,annual,0.05,214,151,4,1,0.16,"[0.0, 0.31]",0.0,2.6,2.5,"[1.48, 3.7]"
annual+kairos@0.1,annual,0.1,214,152,1,0,0.0,"[0.0, 0.0]",0.0,0.0,0.4,"[0.09, 0.87]"
acc_aha+kairos@0.02,acc_aha,0.02,214,87,15,1,0.07,"[0.0, 0.24]",0.0,1.1,8.4,"[5.55, 11.79]"
acc_aha+kairos@0.05,acc_aha,0.05,214,88,5,0,0.07,"[0.0, 0.21]",0.0,1.1,1.3,"[0.34, 2.55]"
acc_aha+kairos@0.1,acc_aha,0.1,214,88,2,0,0.0,"[0.0, 0.0]",0.0,0.0,0.5,"[0.0, 1.16]"
