population,score,n,n_events,observed,mean_predicted,brier,brier_null,ipa,auc,cal_slope_logit,cal_intercept_offset,rule_positive,rule_negative,rule_indeterminate
all_landmarks,model,8239,29.0,0.0037266238692270333,0.0038452653606445585,0.003664183028897468,0.0037126508745448958,0.01305478141770311,0.8696142410667748,1.3230380109100168,-0.0017877217010333966,,,
all_landmarks,reference,8239,29.0,0.0037266238692270333,0.0037484090982992033,0.003704695756110419,0.0037126508745448958,0.0021427057655809545,0.6601991786974953,1.0737362641798907,-0.00706427372275111,,,
all_landmarks,calendar,8239,29.0,0.0037266238692270333,0.003836723822081253,0.0037162440484540473,0.0037126508745448958,-0.0009678189602442266,0.45708333017983604,0.10323547852917811,-0.006840524748694395,,,
all_landmarks,varc3_rule,8239,,,,,,,,,,5.0,7421.0,813.0
primary_population,model,8181,25.0,0.003234803739532693,0.0034286982790406742,0.003173599258429275,0.0032242668358384305,0.015714449203141134,0.8542271703725495,1.596589107735869,-0.05879070319607134,,,
primary_population,reference,8181,25.0,0.003234803739532693,0.003734959217636443,0.003216318614206803,0.0032242668358384305,0.002465125262984147,0.7066459702651693,1.3047452069605427,-0.14684650563029383,,,
primary_population,calendar,8181,25.0,0.003234803739532693,0.0038299676929044566,0.003226624762424755,0.0032242668358384305,-0.0007313062802729586,0.49117148653839987,0.3654359688831129,-0.1476010355533151,,,
primary_population,varc3_rule,8181,,,,,,,,,,0.0,7371.0,810.0
