population,score,n,n_events,observed,mean_predicted,brier,brier_null,ipa,auc,cal_slope_logit,cal_intercept_offset,rule_positive,rule_negative,rule_indeterminate
all_landmarks,model,10422,65.0,0.006615700270639389,0.006602498915072367,0.006515872730336226,0.006571781374847105,0.008507380468386283,0.7167106035441924,1.1494740225780355,-0.006703356838758126,,,
all_landmarks,reference,10422,65.0,0.006615700270639389,0.006575064331086375,0.00654560286380138,0.006571781374847105,0.003983472600887383,0.6588712127876613,1.105697750486251,-0.0019191120798778092,,,
all_landmarks,calendar,10422,65.0,0.006615700270639389,0.006562313437802724,0.0065649589227481835,0.006571781374847105,0.0010381434971397097,0.5819604693571313,0.7974230939025438,-0.0016034037610411095,,,
all_landmarks,varc3_rule,10422,,,,,,,,,,4.0,9408.0,1010.0
primary_population,model,10380,62.0,0.006333030506048868,0.006485922071964445,0.006246344592825342,0.006292780080292726,0.007379168964255944,0.7084829752806896,1.138005690830659,-0.03640412068500881,,,
primary_population,reference,10380,62.0,0.006333030506048868,0.0065678600916961715,0.006267120970427751,0.006292780080292726,0.0040775475286880525,0.671880242385047,1.171345977916548,-0.04510755634712721,,,
primary_population,calendar,10380,62.0,0.006333030506048868,0.006563898671098799,0.006285083009137001,0.006292780080292726,0.0012231590898639233,0.595581690210395,0.9091492054572962,-0.04575985370009159,,,
primary_population,varc3_rule,10380,,,,,,,,,,0.0,9371.0,1009.0
